"filename", "language", "Dart", "comment", "blank", "total"
"/Volumes/XcodeDev/Downloads/snippets/lib/api/auth.dart", "Dart", 158, 8, 25, 191
"/Volumes/XcodeDev/Downloads/snippets/lib/api/database.dart", "Dart", 165, 7, 46, 218
"/Volumes/XcodeDev/Downloads/snippets/lib/api/fb_database.dart", "Dart", 1629, 61, 136, 1826
"/Volumes/XcodeDev/Downloads/snippets/lib/api/local_database.dart", "Dart", 974, 21, 95, 1090
"/Volumes/XcodeDev/Downloads/snippets/lib/api/local_database.g.dart", "Dart", 3539, 2, 183, 3724
"/Volumes/XcodeDev/Downloads/snippets/lib/api/notifications.dart", "Dart", 295, 111, 41, 447
"/Volumes/XcodeDev/Downloads/snippets/lib/api/remote_config.dart", "Dart", 54, 0, 10, 64
"/Volumes/XcodeDev/Downloads/snippets/lib/api/storage.dart", "Dart", 77, 23, 7, 107
"Total", "-", 6891, 233, 543, 7667
