"filename", "language", "Dart", "comment", "blank", "total"
"/Users/nathanielkemmenash/Desktop/VS Code Projects/snippets/lib/api/auth.dart", "Dart", 86, 4, 16, 106
"/Users/nathanielkemmenash/Desktop/VS Code Projects/snippets/lib/api/database.dart", "Dart", 773, 17, 115, 905
"/Users/nathanielkemmenash/Desktop/VS Code Projects/snippets/lib/api/local_database.dart", "Dart", 162, 11, 57, 230
"/Users/nathanielkemmenash/Desktop/VS Code Projects/snippets/lib/api/local_database.g.dart", "Dart", 1799, 2, 101, 1902
"/Users/nathanielkemmenash/Desktop/VS Code Projects/snippets/lib/api/notifications.dart", "Dart", 180, 97, 34, 311
"Total", "-", 3000, 131, 323, 3454
